,data_index,link,position_name,company_name
998,1145,https://justjoin.it/offers/eviden-release-coordinator-with-german-wroc-aw-other,Release Coordinator with German,Eviden
999,1146,https://justjoin.it/offers/bold-pl-senior-marketing-automation-specialist-warszawa-other,Senior Marketing Automation Specialist,BOLD PL
1000,1147,https://justjoin.it/offers/netcompany-java-developer-warszawa,Java Developer,Netcompany
1001,1148,https://justjoin.it/offers/netcompany-net-developer-b2b,.NET Developer,Netcompany
1002,1149,https://justjoin.it/offers/iig-sp-z-o-o--specjalista-pmo-warszawa-pm,Specjalista PMO,IIG sp. z o.o.
1003,1150,https://justjoin.it/offers/lingaro-ai-cloud-architect-warszawa-python,AI Cloud Architect,Lingaro
1004,1151,https://justjoin.it/offers/lingaro-senior-data-engineering-tech-lead-warszawa-data,Senior Data Engineering Tech Lead,Lingaro
1005,1152,https://justjoin.it/offers/virtuos-warsaw-engine-low-level-graphics-programmer-warszawa-game,Engine/Low-Level Graphics Programmer,Virtuos Warsaw
1006,1153,https://justjoin.it/offers/lingaro-senior-azure-data-engineer-warszawa-data,Senior Azure Data Engineer,Lingaro
1007,1154,https://justjoin.it/offers/akamai-technologies-senior-software-engineer-in-test-ii-krakow-python,Senior Software Engineer in Test II,Akamai Technologies
1008,1155,https://justjoin.it/offers/45avenue-senior-it-specialist-warszawa-support,Senior IT Specialist,45Avenue
1009,1156,https://justjoin.it/offers/the-codest-senior-vue-developer-praca-zdalna--warszawa-javascript,Senior Vue Developer (praca zdalna),The Codest
1010,1157,https://justjoin.it/offers/antykwariat-i-ksiegarnia-tezeusz-devops-engineer-krakow-devops,DevOps Engineer,ANTYKWARIAT I KSIĘGARNIA TEZEUSZ
1011,1158,https://justjoin.it/offers/zen-com-senior-java-developer-ai-project--rzeszow-ai,Senior Java Developer (AI project),ZEN.COM
1012,1159,https://justjoin.it/offers/montrose-software-polska-sp-z-o-o-remote-senior-c-developer-krakow-net-3661ee8e,Remote Senior C# Developer,Montrose Software (Polska) Sp.z.o.o
1013,1167,https://justjoin.it/offers/infor-senior-data-analyst-wroclaw-data,Senior Data Analyst,Infor
1014,1168,https://justjoin.it/offers/infor-it-data-framework-specialist-wroclaw-data,IT Data Framework Specialist,Infor
1015,1169,https://justjoin.it/offers/infor-senior-fullstack-net-developer-wroclaw-net,Senior Fullstack .NET Developer,Infor
1016,1170,https://justjoin.it/offers/infor-product-support-analyst-ln-logistics--wroclaw-support,Product Support Analyst (LN Logistics),Infor
1017,1171,https://justjoin.it/offers/infor-junior-regular-fullstack-java-developer-wroclaw-java,Junior/Regular Fullstack Java Developer,Infor
1018,1172,https://justjoin.it/offers/infor-java-developer-wroclaw-java,Java Developer,Infor
1019,1173,https://justjoin.it/offers/infor-senior-business-analyst-with-german-warszawa-analytics,Senior Business Analyst with German,Infor
1020,1174,https://justjoin.it/offers/antal-sp-z-o-o--fullstack-developer-warszawa-javascript,Fullstack Developer,Antal Sp. z o.o.
1021,1175,https://justjoin.it/offers/xebia-sp-z-o-o---senior-azure-data-engineer-databricks--wroclaw-data,👉 Senior Azure Data Engineer (Databricks),Xebia sp. z o.o.
1022,1176,https://justjoin.it/offers/appunite-sales-leader-poznan-other,Sales Leader,Appunite
1023,1177,https://justjoin.it/offers/n-ix-senior-java-engineer-warszawa-java-c2c10e6d,Senior Java Engineer,N-iX
1024,1178,https://justjoin.it/offers/rits-professional-services-c-embedded-developer-mid-senior--zielonka-c,C Embedded Developer (Mid/Senior),RITS Professional Services
1025,1179,https://justjoin.it/offers/arcelormittal-bcoe-uam-iam-specialist-dabrowa-gornicza-security,UAM/IAM Specialist,ArcelorMittal BCOE
1026,1180,https://justjoin.it/offers/arcelormittal-bcoe-uam-iam-specialist-dabrowa-gornicza-support,UAM/IAM Specialist,ArcelorMittal BCOE
1027,1181,https://justjoin.it/offers/greenminds-sp-z-o-o--automation-software-tester-warszawa-testing,Automation Software Tester,GreenMinds Sp. z o.o.
1028,1182,https://justjoin.it/offers/greenminds-sp-z-o-o--qa-manager-warszawa-testing,QA Manager,GreenMinds Sp. z o.o.
1029,1183,https://justjoin.it/offers/britenet-fullstack-java-developer-warszawa-java,Fullstack Java Developer,Britenet
1030,1184,https://justjoin.it/offers/google-software-engineering-manager-cloud-composer-warszawa-pm,"Software Engineering Manager, Cloud Composer",Google
1031,1191,https://justjoin.it/offers/b2bnetwork-business-analyst-warszawa-analytics,Business Analyst,B2Bnetwork
1032,1192,https://justjoin.it/offers/google-technical-lead-manager-pitching-and-reporting-collateral-warszawa-pm-347deee2,"Technical Lead manager, Pitching and Reporting Collateral",Google
1033,1193,https://justjoin.it/offers/google-software-engineer-chrome-autofill-warszawa-javascript,"Software Engineer, Chrome Autofill",Google
1034,1194,https://justjoin.it/offers/quertum-full-stack-developer-warszawa-java,Full-stack developer,Quertum
1035,1195,https://justjoin.it/offers/fabrity-sp-z-o-o--business-analyst-warszawa-analytics,Business Analyst,Fabrity Sp. z o.o.
1036,1196,https://justjoin.it/offers/n-ix-senior-power-bi-engineer-with-turkish-language--krakow-data,Senior Power BI Engineer (with Turkish language),N-iX
1037,1197,https://justjoin.it/offers/bec-poland-software-engineer---bi-architecture-warszawa-data,Software Engineer - BI Architecture,BEC Poland
1038,1198,https://justjoin.it/offers/voestalpine-signaling-poland-lead-qa-engineer-sopot-other,Lead QA Engineer,voestalpine Signaling Poland
1039,1199,https://justjoin.it/offers/amazon-team-lead-catalog-manager-eu-marketplace-expansion-warszawa-admin,"Team Lead, Catalog Manager, EU Marketplace Expansion",Amazon
1040,1200,https://justjoin.it/offers/amazon-catalog-specialist---poland-marketplace-marketplace-expansion-warszawa-admin,"Catalog Specialist - Poland Marketplace, Marketplace Expansion",Amazon
1041,1201,https://justjoin.it/offers/amazon-team-lead-catalog-manager-eu-marketplace-expansion-warszawa-support,"Team Lead, Catalog Manager, EU Marketplace Expansion",Amazon
1042,1202,https://justjoin.it/offers/amazon-catalog-specialist---poland-marketplace-marketplace-expansion-warszawa-support,"Catalog Specialist - Poland Marketplace, Marketplace Expansion",Amazon
1043,1203,https://justjoin.it/offers/axabee-senior-frontend-developer-wroclaw-javascript,Senior Frontend Developer,Axabee
1044,1204,https://justjoin.it/offers/angry-nerds--net-developer-wroclaw-net,.NET Developer,Angry Nerds
1045,1205,https://justjoin.it/offers/moon-active-team-lead-with-c--warszawa-c,Team Lead with C++,Moon Active
1046,1206,https://justjoin.it/offers/experis-manpower-group-sap-financial-planning-and-analysis-consultant-warszawa-erp,SAP Financial Planning and Analysis Consultant,Experis Manpower Group
1047,1207,https://justjoin.it/offers/emagine-polska-ai-test-automation-engineer-ai-experience-is-a-plus--warszawa-testing,AI Test Automation Engineer (AI experience is a plus),emagine Polska
1048,1208,https://justjoin.it/offers/ferchau-poland-sr-systems-engineer-with-sap-ariba-wroclaw-erp,Sr Systems Engineer with SAP Ariba,Ferchau Poland
1049,1209,https://justjoin.it/offers/capgemini-polska-senior-dft-engineer-gdansk-other,Senior DFT Engineer,Capgemini Polska
1050,1217,https://justjoin.it/offers/itmagination-senior-business-analyst-product-owner-warszawa-analytics,Senior Business Analyst & Product Owner,ITMAGINATION
1051,1218,https://justjoin.it/offers/itmagination-backend-developers-in-visual-net-warszawa-net,Backend Developers in Visual .NET,ITMAGINATION
1052,1219,https://justjoin.it/offers/platige-image--net-developer-krakow-net,.Net Developer,Platige Image S.A.
1053,1220,https://justjoin.it/offers/siepomaga-pl-ruby-on-rails-developer-poznan-ruby,Ruby On Rails Developer,Siepomaga.pl
1054,1221,https://justjoin.it/offers/finanteq-full-stack-developer-java-i-angular--lublin-java,Full Stack Developer (Java i Angular),FINANTEQ
1055,1222,https://justjoin.it/offers/librus-php-developer-katowice-php,PHP developer,Librus
1056,1223,https://justjoin.it/offers/reply-polska-sp-z-o-o--senior-cloud-engineer-katowice-devops-65a8d4b5,Senior Cloud Engineer,Reply Polska Sp. z o. o.
1057,1224,https://justjoin.it/offers/reply-polska-sp-z-o-o--cloud-engineer-katowice-devops-c1d8a688,Cloud Engineer,Reply Polska Sp. z o. o.
1058,1225,https://justjoin.it/offers/itmagination-spring-boot-paas-api-developer-warszawa-java,Spring Boot PaaS API Developer,ITMAGINATION
1059,1226,https://justjoin.it/offers/britenet-java-developer-e-mobility--lublin-java,Java/Kotlin Developer (e-mobility),Britenet
1060,1227,https://justjoin.it/offers/schibsted-tech-polska-senior-java-kotlin-developer-krakow-java,Senior Java/Kotlin Developer,Schibsted Tech Polska
1061,1228,https://justjoin.it/offers/syberry-senior-python-engineer-in-fintech,Senior Python Developer (FinTech Project),Syberry
1062,1229,https://justjoin.it/offers/convista-poland-sap-developer,SAP Developer,Convista Poland
1063,1230,https://justjoin.it/offers/tesco-technology-software-engineer-machine-learning-mlops,Software Engineer (Machine Learning - MLOps),Tesco Technology
1064,1231,https://justjoin.it/offers/tesco-technology-software-development-engineer-iii-java-krakow-302795,Software Development Engineer III (Java),Tesco Technology
1065,1232,https://justjoin.it/offers/smartheads-senior-php-developer---wroclaw-wroclaw-php-e519278a,Senior PHP Developer - Wrocław,Smartheads
